title~author~file
For Dad~Isaac Winters~poem_0.txt
Stanzas Written in Dejection, Near Naples~Percy Bysshe Shelley~poem_1.txt
To-Morrow~Percy Bysshe Shelley~poem_2.txt
Niobe in Distress~Phillis Wheatley~poem_3.txt
From Vergil's Fourth Georgic~Percy Bysshe Shelley~poem_4.txt
The Butterfly in honored Dust~Emily Dickinson~poem_5.txt
Easter Zunday~William Barnes~poem_6.txt
Except to Heaven, she is nought.~Emily Dickinson~poem_7.txt
October~Edward Thomas~poem_8.txt
Kissing time~Eugene Field~poem_9.txt
Dewdrops~John Clare~poem_10.txt
Death~John Clare~poem_11.txt
Death~Percy Bysshe Shelley~poem_12.txt
Hymn of Pan~Percy Bysshe Shelley~poem_13.txt
Sonnet XLIX: Thou Leaden Brain~Michael Drayton~poem_14.txt
Oh! Snatched Away in Beauty's Bloom~George Gordon, Lord Byron~poem_15.txt
Sonnet 110: Alas! 'tis true, I have gone here and there~William Shakespeare~poem_16.txt
Psalm 144 part 3~Isaac Watts~poem_17.txt
I Built Myself a House of Glass~Edward Thomas~poem_18.txt
Sonnet 12 - Indeed this very love which is my boast~Elizabeth Barrett Browning~poem_19.txt
Hope~Emily Bronte~poem_20.txt
Sonnet to Lake Leman~George Gordon, Lord Byron~poem_21.txt
Patience Taught By Nature~Elizabeth Barrett Browning~poem_22.txt
Envoy For "A Child's Garden Of Verses"~Robert Louis Stevenson~poem_23.txt
Hayeswater~Matthew Arnold~poem_24.txt
There came a Day at Summer's full~Emily Dickinson~poem_25.txt
Sonnet 96: Some say thy fault is youth, some wantonness~William Shakespeare~poem_26.txt
A Descriptive Poem on the Silvery Tay~William Topaz McGonagall~poem_27.txt
In a Gondola~Robert Browning~poem_28.txt
Merry Maid~John Clare~poem_29.txt
Alastor: Or, the Spirit of Solitude~Percy Bysshe Shelley~poem_30.txt
Divine Epigrams: On the Miracle of the Multiplied Loaves~Richard Crashaw~poem_31.txt
In Memoriam A. H. H.: 121. Sad Hesper o'er the buried sun~Lord Alfred Tennyson~poem_32.txt
House and Man~Edward Thomas~poem_33.txt
The Canterbury Tales. Chaucer's Tale of Sir Thopas.~Geoffrey Chaucer~poem_34.txt
The River of Life~Thomas Campbell~poem_35.txt
Sonnet 3: Look in thy glass and tell the face thou viewest~William Shakespeare~poem_36.txt
Ozymandias~Percy Bysshe Shelley~poem_37.txt
A Woman's Hair~George Gordon, Lord Byron~poem_38.txt
Sonnet 95: How sweet and lovely dost thou make the shame~William Shakespeare~poem_39.txt
Epitaph on John Adams, of Southwell, a Carrier, Who Died of Drunkenness~George Gordon, Lord Byron~poem_40.txt
136. Prayer—O Thou Dread Power~Robert Burns~poem_41.txt
When Coldness Wraps This Suffering Clay~George Gordon, Lord Byron~poem_42.txt
On a Distant View of the Village and School of Harrow on the Hill, 1806~George Gordon, Lord Byron~poem_43.txt
To a Lady, on Being Asked My Reason for Quitting England in the Spring~George Gordon, Lord Byron~poem_44.txt
Ave atque Vale (In memory of Charles Baudelaire)~Algernon Charles Swinburne~poem_45.txt
Human Life’s Mystery~Elizabeth Barrett Browning~poem_46.txt
April~Edward Thomas~poem_47.txt
Sonnet 148: O me! what eyes hath Love put in my head~William Shakespeare~poem_48.txt
An Exile's Farewell~Adam Lindsay Gordon~poem_49.txt
Homer's Hymn to Venus~Percy Bysshe Shelley~poem_50.txt
He put the Belt around my life~Emily Dickinson~poem_51.txt
On First Looking Into Chapman's Homer~John Keats~poem_52.txt
The Rose Family - Song 1~Louisa May Alcott~poem_53.txt
Summer Sun~Robert Louis Stevenson~poem_54.txt
The Frightened Ploughman~John Clare~poem_55.txt
Song from Arcadia~Sir Philip Sidney~poem_56.txt
There is a pain -- so utter --~Emily Dickinson~poem_57.txt
The Same~Percy Bysshe Shelley~poem_58.txt
Ode to Winter~Thomas Campbell~poem_59.txt
Words~Edward Thomas~poem_60.txt
A Better Ressurection~Christina Rossetti~poem_61.txt
Fragment: To the Mind of Man~Percy Bysshe Shelley~poem_62.txt
Messiah.~Alexander Pope~poem_63.txt
Like Men and Women Shadows walk~Emily Dickinson~poem_64.txt
When Hope but made Tranquillity be felt (fragment)~Samuel Coleridge~poem_65.txt
UPON MRS ELIZ. WHEELER, UNDER THE NAME OFAMARILLIS~Robert Herrick~poem_66.txt
Tray~Robert Browning~poem_67.txt
Faith and Despondency~Emily Bronte~poem_68.txt
On a Soldier Fallen in the Philippines~William Vaughn Moody~poem_69.txt
May 23~Edward Thomas~poem_70.txt
 Thoughts On The Works Of Providence~Phillis Wheatley~poem_71.txt
No Romance sold unto~Emily Dickinson~poem_72.txt
Lines Written From Home~Anne Bronte~poem_73.txt
Early Spring~John Clare~poem_74.txt
Firwood~John Clare~poem_75.txt
The Dying Child~John Clare~poem_76.txt
Peace~Gerard Manley Hopkins~poem_77.txt
WHY FLOWERS CHANGE COLOUR~Robert Herrick~poem_78.txt
